method,objective,time,a,b,eta,omega
gp,ratio,continuous,1.7888,1.98881,0,0
hebo,vun,continuous,3.1026,2.2789,1.1423,0.995
hebo,ratio,continuous,3.979,4.6384,34.6039,0.8923
